,Afrikaans,Alsatian,Bavarian German,Bernese German,Brabantic,Cimbrian,Danish,Danish 2,Dutch,Dutch 2,Eastern Frisian,English,English 2,Faroese,Frans Vlaams,Frisian Western,Gjestal Norwegian,Gothic,Gronings,Hutterite German,Icelandic,Icelandic 2,Jamtlandic,Limburgish,Lower Silesian,Luxembourgish,North Frisian Amrum,Northern Low Saxon,Norwegian Bokmaal,Norwegian Bokmaal 2,Norwegian Nynorsk Toten,Norwegian Riksmal,Old English,Old Frisian,Old High German,Old Low Franconian,Old Norse,Old Saxon,Plautdietsch,Proto Germanic,Ripuarian German,Sallands,Sandnes Norwegian,Saxon Upper,Scots,Scots 2,Standard German,Standard German 2,Stellingwerfs,Swabian,Swedish,Swedish 2,Twents,Westvlaams,Wymysorys,Yiddish Eastern,Yiddish Western,Zeeuws
Gronings,0.49137931034482757,0.4047619047619048,0.48148148148148157,0.5241379310344828,0.4344827586206896,0.5153846153846153,0.4137931034482759,0.438423645320197,0.31896551724137934,0.3448275862068966,0.28571428571428564,0.37438423645320207,0.4310344827586208,0.4778325123152709,0.3630952380952381,0.4482758620689656,0.41208791208791207,0.4567901234567901,0.0,0.41666666666666674,0.5024630541871921,0.5804597701149427,0.3990147783251231,0.4051724137931034,0.5833333333333334,0.5446428571428571,0.5431034482758621,0.2413793103448276,0.3743842364532019,0.3743842364532019,0.43842364532019695,0.40109890109890106,0.4758620689655172,0.5086206896551724,0.5,0.4583333333333333,0.38423645320197036,0.3563218390804597,0.43448275862068975,0.5714285714285715,0.4351851851851852,0.46376811594202894,0.4010989010989011,0.442528735632184,0.34482758620689663,0.3157894736842105,0.41379310344827586,0.36781609195402293,0.4396551724137931,0.45402298850574724,0.4236453201970444,0.4137931034482758,0.35172413793103446,0.48214285714285715,0.43076923076923074,0.3563218390804597,0.369047619047619,0.32183908045977005
Hutterite German,0.42500000000000004,0.25714285714285706,0.4999999999999999,0.7083333333333333,0.48750000000000004,0.4307692307692308,0.55,0.49999999999999994,0.3875,0.453125,0.5,0.5,0.5625,0.5833333333333333,0.41333333333333333,0.671875,0.5733333333333335,0.47777777777777786,0.41666666666666674,0.0,0.5178571428571428,0.5833333333333333,0.4875,0.6458333333333333,0.5714285714285714,0.36666666666666664,0.578125,0.421875,0.525,0.625,0.6000000000000001,0.5200000000000001,0.4875,0.41250000000000003,0.4,0.42500000000000004,0.55,0.375,0.7333333333333333,0.6969696969696969,0.4642857142857143,0.6153846153846153,0.5733333333333335,0.4666666666666667,0.55,0.47272727272727283,0.45833333333333326,0.4375,0.45,0.5833333333333333,0.5875,0.55,0.5125,0.55,0.5714285714285714,0.3645833333333333,0.37499999999999994,0.45000000000000007
Icelandic,0.4821428571428571,0.5075187969924811,0.5093167701863353,0.5428571428571428,0.5,0.49387755102040815,0.5083333333333334,0.46428571428571425,0.475,0.434375,0.49387755102040803,0.49285714285714277,0.453125,0.4,0.5091575091575091,0.5666666666666667,0.4476190476190476,0.6018518518518519,0.5024630541871921,0.5178571428571428,0.0,0.19642857142857142,0.325,0.46785714285714286,0.5714285714285714,0.46474358974358976,0.4892857142857142,0.45,0.475,0.42142857142857143,0.4392857142857142,0.4476190476190476,0.5541666666666666,0.5042735042735043,0.4505494505494505,0.515625,0.425,0.41758241758241754,0.45421245421245415,0.6635944700460829,0.47039473684210525,0.5483870967741934,0.4428571428571428,0.5091575091575091,0.47619047619047605,0.5138888888888888,0.4678571428571428,0.453125,0.45714285714285713,0.5142857142857142,0.396875,0.390625,0.5142857142857142,0.5054945054945054,0.5584415584415584,0.5249999999999999,0.4835164835164835,0.48571428571428565
Icelandic 2,0.575,0.4999999999999999,0.5724637681159421,0.6083333333333334,0.5791666666666666,0.510204081632653,0.5291666666666667,0.3507805325987145,0.575,0.3909090909090909,0.5761904761904761,0.324074074074074,0.36363636363636365,0.5041666666666667,0.6025641025641024,0.5875,0.4809523809523809,0.5317460317460319,0.5804597701149427,0.5833333333333333,0.19642857142857142,0.0,0.425,0.5499999999999999,0.5769230769230769,0.6324786324786325,0.5666666666666667,0.5333333333333333,0.4833333333333333,0.2626262626262626,0.5208333333333333,0.5047619047619047,0.5708333333333334,0.6564102564102565,0.5982905982905984,0.5520833333333333,0.3958333333333333,0.5427350427350428,0.5341880341880342,0.6088709677419355,0.6403508771929826,0.6505376344086021,0.4809523809523809,0.5982905982905983,0.5726495726495725,0.5277777777777778,0.5666666666666667,0.39669421487603307,0.5625,0.5142857142857142,0.45,0.2887205387205387,0.6,0.5726495726495726,0.5757575757575757,0.5107142857142857,0.5018315018315018,0.6041666666666666
Jamtlandic,0.46499999999999997,0.36466165413533835,0.40579710144927544,0.4791666666666667,0.485,0.4952380952380953,0.445,0.41666666666666663,0.3625,0.4041666666666666,0.3571428571428571,0.35,0.425,0.4916666666666666,0.5384615384615384,0.4333333333333333,0.3714285714285714,0.4563492063492063,0.3990147783251231,0.4875,0.325,0.425,0.0,0.575,0.5064102564102563,0.38827838827838823,0.45,0.41500000000000004,0.40625,0.32,0.315,0.34285714285714286,0.4333333333333333,0.4051282051282051,0.3846153846153846,0.40104166666666663,0.3678571428571428,0.5576923076923077,0.42307692307692296,0.6175115207373272,0.44298245614035087,0.4462365591397848,0.36190476190476184,0.5384615384615383,0.4871794871794871,0.5208333333333334,0.3499999999999999,0.4625,0.48,0.4541666666666666,0.34500000000000003,0.4625,0.3821428571428571,0.6153846153846154,0.5050505050505051,0.4541666666666666,0.38095238095238093,0.485
Limburgish,0.3875,0.2669172932330827,0.5978260869565217,0.50625,0.355,0.4914285714285714,0.51,0.4291666666666666,0.34375,0.35625,0.3142857142857143,0.296875,0.3571428571428571,0.4714285714285714,0.4551282051282051,0.43,0.4238095238095238,0.4285714285714286,0.4051724137931034,0.6458333333333333,0.46785714285714286,0.5499999999999999,0.575,0.0,0.5384615384615384,0.3282051282051282,0.4625,0.3833333333333333,0.45499999999999996,0.43499999999999994,0.49000000000000005,0.4799999999999999,0.4125,0.5064102564102564,0.4461538461538461,0.4296875,0.48,0.46794871794871795,0.47435897435897434,0.4258064516129032,0.35526315789473684,0.4596774193548387,0.40952380952380957,0.532051282051282,0.5705128205128205,0.5,0.33999999999999997,0.45,0.425,0.43000000000000005,0.5,0.425,0.41000000000000003,0.47435897435897434,0.4303030303030303,0.28928571428571426,0.315018315018315,0.4625
Lower Silesian,0.4461538461538461,0.4000000000000001,0.4470588235294118,0.5384615384615384,0.6057692307692307,0.5916666666666667,0.5192307692307693,0.5384615384615384,0.4230769230769231,0.41538461538461535,0.39682539682539675,0.4065934065934066,0.47435897435897434,0.554945054945055,0.424,0.4487179487179487,0.5681818181818182,0.5066666666666667,0.5833333333333334,0.5714285714285714,0.5714285714285714,0.5769230769230769,0.5064102564102563,0.5384615384615384,0.0,0.384,0.6153846153846154,0.6153846153846154,0.4935897435897436,0.4871794871794871,0.5192307692307693,0.537878787878788,0.5230769230769231,0.49038461538461536,0.5384615384615384,0.5595238095238095,0.6153846153846154,0.46153846153846156,0.4769230769230769,0.5111111111111112,0.4519230769230769,0.5181818181818182,0.5530303030303031,0.49038461538461536,0.4166666666666667,0.42222222222222217,0.3692307692307692,0.5,0.42307692307692313,0.4102564102564102,0.5128205128205128,0.5576923076923076,0.47692307692307695,0.4800000000000001,0.34782608695652173,0.40769230769230763,0.4307692307692308,0.36538461538461536
Luxembourgish,0.4358974358974359,0.27413127413127414,0.41304347826086957,0.4512820512820511,0.3846153846153846,0.4754901960784314,0.375,0.38782051282051283,0.4166666666666667,0.48717948717948717,0.32352941176470584,0.34294871794871795,0.40293040293040294,0.49450549450549447,0.27631578947368424,0.5025641025641026,0.4327731092436975,0.4693877551020408,0.5446428571428571,0.36666666666666664,0.46474358974358976,0.6324786324786325,0.38827838827838823,0.3282051282051282,0.384,0.0,0.45641025641025634,0.358974358974359,0.3301282051282051,0.3333333333333333,0.4102564102564102,0.35661764705882354,0.46581196581196577,0.5657894736842105,0.46842105263157885,0.5241935483870968,0.3814102564102564,0.3233082706766917,0.3991228070175438,0.4874551971326165,0.372972972972973,0.49166666666666664,0.4327731092436975,0.4052631578947368,0.3646616541353384,0.34161490683229817,0.40384615384615385,0.37435897435897436,0.45641025641025634,0.37179487179487175,0.358974358974359,0.3685897435897436,0.4666666666666667,0.4999999999999999,0.46874999999999994,0.30769230769230776,0.3270676691729324,0.3296703296703298
North Frisian Amrum,0.38499999999999995,0.3464912280701754,0.5130434782608695,0.4800000000000001,0.365,0.537142857142857,0.425,0.4666666666666666,0.46875,0.48125,0.39999999999999997,0.275,0.34642857142857136,0.47142857142857136,0.3803418803418804,0.31666666666666665,0.4047619047619047,0.5231481481481481,0.5431034482758621,0.578125,0.4892857142857142,0.5666666666666667,0.45,0.4625,0.6153846153846154,0.45641025641025634,0.0,0.39375,0.3708333333333333,0.35,0.4125,0.40476190476190477,0.4083333333333333,0.4935897435897436,0.5282051282051282,0.5546875,0.45,0.441025641025641,0.441025641025641,0.5990783410138248,0.5789473684210527,0.6129032258064516,0.3952380952380952,0.5025641025641026,0.3888888888888889,0.31249999999999994,0.49000000000000005,0.515,0.4875,0.51,0.4208333333333334,0.4416666666666666,0.61875,0.45641025641025645,0.4393939393939394,0.3642857142857142,0.39194139194139194,0.45
Northern Low Saxon,0.3,0.23684210526315785,0.391304347826087,0.4,0.335,0.46285714285714286,0.3875,0.4125,0.26,0.3625,0.20000000000000004,0.2964285714285714,0.375,0.44642857142857134,0.26666666666666666,0.39,0.41904761904761906,0.41666666666666663,0.2413793103448276,0.421875,0.45,0.5333333333333333,0.41500000000000004,0.3833333333333333,0.6153846153846154,0.358974358974359,0.39375,0.0,0.3416666666666667,0.3083333333333333,0.43499999999999994,0.3285714285714286,0.42000000000000004,0.3179487179487179,0.4051282051282051,0.3375,0.4083333333333333,0.2974358974358973,0.41025641025641024,0.5201612903225806,0.39473684210526316,0.5268817204301075,0.39523809523809517,0.3692307692307692,0.3692307692307692,0.3666666666666667,0.36,0.38,0.31875,0.5375,0.3708333333333333,0.4041666666666667,0.29166666666666663,0.31794871794871793,0.406060606060606,0.2571428571428571,0.2857142857142857,0.3
Norwegian Bokmaal,0.3833333333333333,0.39473684210526316,0.4492753623188405,0.52,0.4291666666666667,0.6057142857142855,0.5583333333333333,0.475,0.2964285714285714,0.3142857142857142,0.48000000000000004,0.29375,0.34285714285714286,0.4458333333333333,0.5641025641025641,0.3958333333333333,0.4357142857142857,0.44047619047619047,0.3743842364532019,0.525,0.475,0.4833333333333333,0.40625,0.45499999999999996,0.4935897435897436,0.3301282051282051,0.3708333333333333,0.3416666666666667,0.0,0.1625,0.23928571428571424,0.23999999999999996,0.4125,0.37948717948717947,0.4487179487179486,0.3303571428571428,0.385,0.4358974358974358,0.41880341880341887,0.6129032258064516,0.3834586466165414,0.3456221198156683,0.39285714285714285,0.5025641025641026,0.33699633699633696,0.5208333333333334,0.425,0.3857142857142857,0.43000000000000005,0.515,0.31500000000000006,0.375,0.4041666666666666,0.441025641025641,0.5303030303030303,0.3714285714285714,0.3882783882783883,0.45499999999999996
Norwegian Bokmaal 2,0.3833333333333333,0.3684210526315789,0.44927536231884063,0.5050000000000001,0.41666666666666663,0.5238095238095237,0.4375,0.3494949494949495,0.2928571428571428,0.34054834054834054,0.41714285714285715,0.29292929292929293,0.3694083694083694,0.4833333333333333,0.5256410256410257,0.3958333333333333,0.42857142857142855,0.44047619047619047,0.3743842364532019,0.625,0.42142857142857143,0.2626262626262626,0.32,0.43499999999999994,0.4871794871794871,0.3333333333333333,0.35,0.3083333333333333,0.1625,0.0,0.22857142857142856,0.25142857142857145,0.41666666666666663,0.39999999999999997,0.45726495726495725,0.33928571428571425,0.3541666666666667,0.4358974358974359,0.3974358974358974,0.6359447004608295,0.37593984962406024,0.34562211981566826,0.36428571428571427,0.5025641025641026,0.3296703296703297,0.5208333333333334,0.41666666666666663,0.40981240981240985,0.43499999999999994,0.52,0.34500000000000003,0.3353535353535354,0.4041666666666666,0.4307692307692308,0.4949494949494949,0.3642857142857142,0.3589743589743589,0.42000000000000004
Norwegian Nynorsk Toten,0.4333333333333333,0.42982456140350866,0.47826086956521746,0.4875,0.4666666666666667,0.5428571428571428,0.3666666666666667,0.290625,0.35,0.37142857142857144,0.4742857142857142,0.3,0.35357142857142854,0.4,0.45641025641025634,0.4583333333333333,0.28979591836734686,0.4801587301587301,0.43842364532019695,0.6000000000000001,0.4392857142857142,0.5208333333333333,0.315,0.49000000000000005,0.5192307692307693,0.4102564102564102,0.4125,0.43499999999999994,0.23928571428571424,0.22857142857142856,0.0,0.2448979591836734,0.4208333333333333,0.4358974358974359,0.47435897435897445,0.3571428571428571,0.38333333333333336,0.376068376068376,0.44871794871794873,0.5483870967741935,0.4060150375939849,0.3778801843317972,0.3285714285714285,0.47863247863247876,0.40170940170940167,0.5104166666666666,0.47916666666666663,0.4107142857142857,0.4291666666666666,0.475,0.3125,0.26875,0.4583333333333333,0.5128205128205128,0.5151515151515151,0.4541666666666666,0.5282051282051281,0.51
Norwegian Riksmal,0.3952380952380952,0.44285714285714284,0.475,0.5428571428571428,0.42857142857142855,0.510752688172043,0.36,0.3714285714285714,0.30612244897959184,0.326530612244898,0.4375,0.3142857142857143,0.363265306122449,0.4761904761904761,0.4457142857142857,0.42857142857142855,0.3257142857142856,0.4792626728110599,0.40109890109890106,0.5200000000000001,0.4476190476190476,0.5047619047619047,0.34285714285714286,0.4799999999999999,0.537878787878788,0.35661764705882354,0.40476190476190477,0.3285714285714286,0.23999999999999996,0.25142857142857145,0.2448979591836734,0.0,0.3761904761904762,0.37058823529411766,0.4411764705882353,0.3300492610837439,0.43999999999999995,0.40588235294117647,0.42156862745098034,0.5918367346938774,0.393939393939394,0.3520408163265306,0.2685714285714285,0.5588235294117648,0.32773109243697485,0.41818181818181815,0.4761904761904762,0.41632653061224484,0.4171428571428572,0.5200000000000001,0.32380952380952377,0.2857142857142857,0.3904761904761905,0.5176470588235295,0.5161290322580645,0.4122448979591836,0.36326530612244895,0.4857142857142857
Old English,0.61875,0.44298245614035076,0.4927536231884058,0.525,0.4416666666666667,0.5542857142857144,0.4375,0.5083333333333333,0.47000000000000003,0.485,0.3387755102040816,0.303125,0.37499999999999994,0.45714285714285713,0.33699633699633696,0.52,0.363265306122449,0.3769841269841269,0.4758620689655172,0.4875,0.5541666666666666,0.5708333333333334,0.4333333333333333,0.4125,0.5230769230769231,0.46581196581196577,0.4083333333333333,0.42000000000000004,0.4125,0.41666666666666663,0.4208333333333333,0.3761904761904762,0.0,0.26068376068376065,0.446153846153846,0.3875,0.3666666666666667,0.3034188034188034,0.4316239316239317,0.5576036866359447,0.4342105263157894,0.49677419354838703,0.3591836734693878,0.48717948717948717,0.39316239316239315,0.375,0.40357142857142847,0.425,0.3916666666666666,0.4,0.42499999999999993,0.45833333333333337,0.49000000000000005,0.4923076923076924,0.46969696969696967,0.3821428571428571,0.4401709401709402,0.3571428571428571
Old Frisian,0.46153846153846156,0.3513513513513514,0.46956521739130447,0.4871794871794871,0.5064102564102564,0.5411764705882353,0.4307692307692308,0.3974358974358974,0.5213675213675213,0.4551282051282051,0.303921568627451,0.26282051282051283,0.32234432234432236,0.47863247863247865,0.39473684210526316,0.5,0.37745098039215685,0.38425925925925913,0.5086206896551724,0.41250000000000003,0.5042735042735043,0.6564102564102565,0.4051282051282051,0.5064102564102564,0.49038461538461536,0.5657894736842105,0.4935897435897436,0.3179487179487179,0.37948717948717947,0.39999999999999997,0.4358974358974359,0.37058823529411766,0.26068376068376065,0.0,0.47435897435897434,0.35416666666666663,0.39487179487179486,0.3157894736842105,0.43684210526315786,0.6055555555555556,0.4486486486486486,0.4596774193548387,0.36764705882352944,0.5789473684210527,0.48026315789473684,0.45652173913043476,0.4358974358974358,0.48205128205128206,0.4358974358974359,0.4769230769230769,0.35897435897435886,0.3504273504273504,0.48717948717948717,0.5789473684210528,0.404040404040404,0.3675213675213675,0.3815789473684211,0.3487179487179487
Old High German,0.46153846153846145,0.3918918918918919,0.41304347826086957,0.3186813186813187,0.517948717948718,0.4294117647058824,0.47435897435897434,0.4285714285714286,0.48717948717948717,0.45641025641025623,0.33193277310924374,0.3685897435897436,0.4505494505494505,0.4652014652014652,0.38596491228070173,0.44871794871794873,0.4159663865546218,0.33730158730158727,0.5,0.4,0.4505494505494505,0.5982905982905984,0.3846153846153846,0.4461538461538461,0.5384615384615384,0.46842105263157885,0.5282051282051282,0.4051282051282051,0.4487179487179486,0.45726495726495725,0.47435897435897445,0.4411764705882353,0.446153846153846,0.47435897435897434,0.0,0.359375,0.49743589743589756,0.2684210526315789,0.48421052631578954,0.5611111111111111,0.47027027027027035,0.5483870967741935,0.4033613445378151,0.4842105263157894,0.37218045112781956,0.38509316770186336,0.3589743589743589,0.42051282051282046,0.4358974358974358,0.40170940170940167,0.47863247863247865,0.4700854700854701,0.4666666666666667,0.4789473684210525,0.47878787878787876,0.35897435897435886,0.3684210526315789,0.3803418803418804
Old Low Franconian,0.4453125,0.3666666666666666,0.4250000000000001,0.44375,0.5390625,0.5948275862068966,0.3839285714285714,0.39732142857142855,0.44791666666666663,0.625,0.2857142857142857,0.30859375,0.37053571428571425,0.4330357142857143,0.3064516129032258,0.4125,0.44827586206896547,0.3817204301075269,0.4583333333333333,0.42500000000000004,0.515625,0.5520833333333333,0.40104166666666663,0.4296875,0.5595238095238095,0.5241935483870968,0.5546875,0.3375,0.3303571428571428,0.33928571428571425,0.3571428571428571,0.3300492610837439,0.3875,0.35416666666666663,0.359375,0.0,0.359375,0.21875,0.42580645161290326,0.5972222222222222,0.5666666666666667,0.4166666666666667,0.4482758620689655,0.5967741935483871,0.3482142857142857,0.3354037267080745,0.4,0.4125,0.453125,0.44375000000000003,0.3526785714285714,0.3169642857142857,0.42500000000000004,0.5913978494623655,0.4799999999999999,0.34895833333333337,0.375,0.32291666666666663
Old Norse,0.515,0.40977443609022557,0.5144927536231884,0.4875,0.45,0.5047619047619047,0.3958333333333333,0.3714285714285714,0.375,0.37857142857142856,0.46190476190476193,0.321875,0.37857142857142856,0.3142857142857143,0.5384615384615384,0.4458333333333333,0.34857142857142853,0.40740740740740733,0.38423645320197036,0.55,0.425,0.3958333333333333,0.3678571428571428,0.48,0.6153846153846154,0.3814102564102564,0.45,0.4083333333333333,0.385,0.3541666666666667,0.38333333333333336,0.43999999999999995,0.3666666666666667,0.39487179487179486,0.49743589743589756,0.359375,0.0,0.39999999999999997,0.5333333333333333,0.639784946236559,0.40225563909774437,0.4101382488479263,0.36571428571428566,0.5,0.45641025641025645,0.4583333333333333,0.4958333333333333,0.4875,0.425,0.4666666666666666,0.4083333333333333,0.3916666666666666,0.4375,0.5128205128205128,0.6363636363636364,0.39285714285714285,0.3956043956043956,0.545
Old Saxon,0.4423076923076923,0.3783783783783784,0.4347826086956523,0.3888888888888889,0.41538461538461535,0.45294117647058824,0.4410256410256411,0.40598290598290593,0.29743589743589743,0.36923076923076925,0.3470588235294118,0.30128205128205127,0.3626373626373627,0.40659340659340654,0.3815789473684211,0.441025641025641,0.38235294117647056,0.38888888888888884,0.3563218390804597,0.375,0.41758241758241754,0.5427350427350428,0.5576923076923077,0.46794871794871795,0.46153846153846156,0.3233082706766917,0.441025641025641,0.2974358974358973,0.4358974358974358,0.4358974358974359,0.376068376068376,0.40588235294117647,0.3034188034188034,0.3157894736842105,0.2684210526315789,0.21875,0.39999999999999997,0.0,0.39999999999999997,0.6444444444444444,0.3693693693693693,0.4,0.37745098039215685,0.5723684210526315,0.5384615384615384,0.5208333333333334,0.3113553113553113,0.376068376068376,0.4423076923076923,0.45641025641025634,0.45641025641025634,0.35897435897435903,0.3760683760683761,0.4473684210526316,0.4848484848484848,0.35042735042735035,0.3421052631578947,0.41025641025641024
